artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,151933.0,False,,Andy Williams,,It's the Most Wonderful Time of the Year,3,,1963,andy williams it's the most wonderful time of the year,spotify:track:5hslUAKq9I9CG2bAulFkHN
,227933.0,False,,"Ariana Grande, John Legend",,Beauty and the Beast,1,,2017-03-10,ariana grande beauty and the beast,spotify:track:5mRNFh0zp9qY1kDpecN9ot
,194840.0,True,,"Ariana Grande, Future",,Everyday,7,,2016-05-20,ariana grande everyday,spotify:track:6yL2kTsdVwYnGwPkKGtMd5
,205920.0,False,,Ariana Grande,,no tears left to cry,11,,2018-08-17,ariana grande no tears left to cry,spotify:track:2qT1uLXPVPzGgFOx4jtEuo
,226160.0,True,,"Ariana Grande, Nicki Minaj",,Side To Side,6,,2016-05-20,ariana grande side to side,spotify:track:1pKeFVVUOPjFsOABub0OaV
,228373.0,True,,"Ariana Grande, Nicki Minaj",,the light is coming (feat. Nicki Minaj),1,,2018-08-17,ariana grande the light is coming,spotify:track:0sdbFOyfgAhAhWq8DpzkaW
,163386.0,False,,Auli'i Cravalho,,How Far I'll Go,11,,2016-11-18,auli'i cravalho how far i'll go,spotify:track:6mb6lVLNrcUgLnEN8QnDJd
,247426.0,False,,Avicii,,Wake Me Up,1,,2013-01-01,avicii wake me up!,spotify:track:4h8VwCb1MTGoLKueQ1WgbD
,238586.0,False,,Ayo & Teo,,Rolex,25,,2017-03-15,ayo rolex,spotify:track:0pSBuHjILhNEo55xK1zrRt
,209355.0,False,,BLACKPINK,,DDU-DU DDU-DU,1,,2018-06-15,blackpink ddu-du ddu-du,spotify:track:2aI2k39nfa3KFsa4JclQzw
,223122.0,False,,BTS,,DNA,4,,2017-09-18,bts dna,spotify:track:5SE57ljOIUJ1ybL9U6CuBH
,242333.0,False,,BTS,,FAKE LOVE,6,,2018-05-18,bts fake love,spotify:track:3aW0ds4A4tSQDIp75FqWTo
,307675.0,False,,"BTS, Steve Aoki",,MIC Drop (Steve Aoki Remix) [Full Length Edition],9,,2018-08-24,bts mic drop,spotify:track:75scDPqGs75FotglJSoOI2
