Artist,Song,num_weeks
Devin Dawson,All On Me,20
Dierks Bentley,Black,17
Dierks Bentley,"Woman, Amen",12
"Diplo, French Montana",Welcome To The Party,4
Drake,4422,2
Drake,8 Out Of 10,1
Drake,After Dark,1
Drake,Blem,4
Drake,Blue Tint,1
Drake,Can't Have Everything,2
Drake,Can't Take A Joke,1
Drake,Diplomatic Immunity,3
Drake,Do Not Disturb,2
Drake,Don't Matter To Me,1
Drake,Elevate,1
Drake,Emotionless,1
Drake,Fake Love,11
Drake,Final Fantasy,1
Drake,Finesse,1
Drake,Free Smoke,4
Drake,Get It Together,2
Drake,Glow,2
Drake,God's Plan,24
Drake,Gyalchester,11
Drake,I'm Upset,6
Drake,Ice Melts,2
Drake,In My Feelings,1
Drake,Is There More,1
Drake,Jaded,1
Drake,Jorja Interlude,2
Drake,KMT,2
Drake,Lose You,1
Drake,Madiba Riddim,2
Drake,March 14,1
Drake,Mob Ties,1
Drake,Nice For What,13
Drake,No Long Talk,2
Drake,Nonstop,1
Drake,Nothings Into Somethings,2
Drake,Passionfruit,20
Drake,Peak,1
Drake,Portland,16
Drake,Ratchet Happy Birthday,1
Drake,Sacrifices,3
Drake,Sandra's Rose,1
Drake,Signs,6
Drake,Since Way Back,1
Drake,Skepta Interlude,1
Drake,Summer Games,1
Drake,Survival,1
Drake,Talk Up,1
Drake,Teenage Fever,4
Drake,That's How You Feel,1
Dua Lipa,IDGAF,23
Dua Lipa,New Rules,47
Dustin Lynch,Seein' Red,4
Dustin Lynch,Small Town Boy,20
Dwayne Johnson,You're Welcome,5
Dylan Scott,My Girl,20
Easton Corbin,A Girl Like You,1
Ed Sheeran,Barcelona,1
Ed Sheeran,Castle On The Hill,30
Ed Sheeran,Dive,2
Ed Sheeran,Eraser,1
Ed Sheeran,Galway Girl,5
Ed Sheeran,Happier,2
Ed Sheeran,Hearts Don't Break Around Here,1
Ed Sheeran,How Would You Feel (Paean),2
Ed Sheeran,New Man,1
Ed Sheeran,Perfect,44
Ed Sheeran,Shape Of You,55
Ed Sheeran,Supermarket Flowers,1
Ed Sheeran,What Do I Know?,1
El Chombo,Dame Tu Cosita,9
Ella Mai,Boo'd Up,14
Eminem,Believe,1
Eminem,River,12
Eminem,Untouchable,1
Eminem,Walk On Water,4
Enrique Iglesias,El Bano,1
Enrique Iglesias,Subeme La Radio,9
Eric Church,Kill A Word,8
Eric Church,Round Here Buzz,18
Famous Dex,Japan,15
Famous Dex,Pick It Up,19
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage",Krippy Kush,5
Fifth Harmony,Down,10
Fitz And The Tantrums,HandClap,2
Flo Rida,Cake,6
Florida Georgia Line,"God, Your Mama, And Me",19
Florida Georgia Line,Simple,5
Florida Georgia Line,Smooth,7
Foster The People,Sit Next To Me,16
Frank Ocean,Chanel,1
French Montana,A Lie,1
French Montana,Unforgettable,41
Future,4 Da Gang,1
Future,All Da Smoke,1
Future,Comin Out Strong,3
Future,Draco,8
Future,Extra Luv,1
Future,Feed Me Dope,1
Future,Mask Off,31
Future,No Cap,1
Future,Patek Water,4
Future,Rent Money,1
Future,Selfish,10
Future,Super Trapper,1
Future,Three,1
Future,Used To This,6
Future,You Da Baddest,2
Future,Zoom,1
G-Eazy,Good Life,5
G-Eazy,Him & I,19
G-Eazy,No Limit,28
G-Eazy,Some Kind Of Drug,3
G-Eazy,The Plan,1
Garth Brooks,Ask Me How I Know,7
GoldLink,Crew,21
Gorillaz,Humility,1
Granger Smith,If The Boot Fits,1
Gucci Mane,Both,16
Gucci Mane,Curve,3
Gucci Mane,I Get The Bag,26
Gucci Mane,Make Love,1
Gucci Mane,Met Gala,2
Gucci Mane,Stunting Ain't Nuthin,1
H.E.R.,Focus,1
Hailee Steinfeld,Let Me Go,21
Hailee Steinfeld,Most Girls,16
Hailee Steinfeld,Starving,3
Halsey,Alone,12
Halsey,Bad At Love,32
Halsey,Now Or Never,20
Halsey,Strangers,1
Harry Styles,Sign Of The Times,13
Harry Styles,Sweet Creature,1
Hey Violet,Guys My Age,4
High Valley,She's With Me,8
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya",The Greatest Show,4
Imagine Dragons,Believer,51
Imagine Dragons,Thunder,51
Imagine Dragons,Whatever It Takes,23
J Balvin,Mi Gente,29
J. Cole,1985 (Intro To The Fall Off),2
J. Cole,ATM,5
J. Cole,Brackets,1
J. Cole,Deja Vu,13
J. Cole,Friends,1
J. Cole,Intro,1
J. Cole,KOD,11
J. Cole,Kevin's Heart,5
J. Cole,Motiv8,2
J. Cole,Once An Addict (Interlude),1
J. Cole,Photograph,2
J. Cole,The Cut Off,1
J. Cole,Window Pain (Outro),1
JAY-Z,4:44,2
JAY-Z,Bam,1
JAY-Z,Caught Their Eyes,1
JAY-Z,Family Feud,1
JAY-Z,Kill Jay Z,1
JAY-Z,Marcy Me,1
JAY-Z,Moonlight,1
JAY-Z,Smile,1
JAY-Z,The Story Of O.J.,3
Jacquees,B.E.D.,13
Jacquees X Dej Loaf,At The Club,7
Jake Owen,I Was Jack (You Were Diane),6
Jake Paul,It's Everyday Bro,2
Jake Paul,Jerika,1
James Arthur,Say You Won't Let Go,38
Janelle Monae,Make Me Feel,1
Jason Aldean,Any Ol' Barstool,17
Jason Aldean,Drowns The Whiskey,3
Jason Aldean,They Don't Know,12
Jason Aldean,You Make It Easy,20
Jason Derulo,Swalla,20
"Jay Rock, Kendrick Lamar, Future",King's Dead,20
Jennifer Lopez,Dinero,1
Jhene Aiko,Sativa,16
John Legend,Love Me Now,5
Jon Bellion,All Time Low,6
Jon Pardi,Dirt On My Boots,12
Jon Pardi,Heartache On The Dance Floor,18
Jordan Davis,Singles You Up,19
Jose Feliciano,Feliz Navidad,1
Josh Turner,Hometown Girl,16
Joyner Lucas,Stranger Things,1
Juice WRLD,All Girls Are The Same,8
Juice WRLD,Legends,1
Juice WRLD,Lucid Dreams,8
Julia Michaels,Issues,28
Justin Bieber + BloodPop,Friends,10
Justin Moore,Somebody Else Will,13
Justin Timberlake,Can't Stop The Feeling!,14
Justin Timberlake,Filthy,6
Justin Timberlake,Man Of The Woods,1
Justin Timberlake,Say Something,16
Justin Timberlake,Supplies,2
KIDS SEE GHOSTS,4th Dimension,1
KIDS SEE GHOSTS,Cudi Montage,1
KIDS SEE GHOSTS,Feel The Love,1
KIDS SEE GHOSTS,Fire,1
KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)",1
KIDS SEE GHOSTS,KIDS SEE GHOSTS,1
KIDS SEE GHOSTS,Reborn,2
KYLE,iSpy,25
Kaleo,Way Down We Go,3
Kane Brown,Found You,1
Kane Brown,Heaven,27
Kane Brown,Lose It,1
Kane Brown,What Ifs,23
Kanye West,All Mine,5
Kanye West,Ghost Town,2
Kanye West,I Thought About Killing You,1
Kanye West,No Mistakes,1
Kanye West,Violent Crimes,2
Kanye West,Wouldn't Leave,2
Kanye West,Ye vs The People,1
Kanye West,Yikes,5
Katy Perry,Bon Appetit,6
Katy Perry,Chained To The Rhythm,15
Katy Perry,Swish Swish,10
